event_id,title,summary,start_date,start_time,end_date,end_time,timezone,is_online,venue_name,venue_address,organizer_name,organizer_id,url,is_free,price,currency,category,tags,image_url,is_cancelled,published,source_platform
1982445036470,Mapping AI: Power,Examines the energy implications of generative AI.,2026-04-22,17:00,2026-04-22,19:00,America/New_York,False,"Fayerweather Hall, Room 513","New York, NY, US",The Center for Science and Society,8449633279,https://www.eventbrite.com/e/mapping-ai-power-registration-1982445036470,True,,,Science & Technology,"Science, Science & Technology, Seminar or Talk, History, Science, Interdisciplinary, Artificial_intelligence, columbia_university",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1174345987%2F219050025338%2F1%2Foriginal.20260108-200350?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=a5753ca7abb4cb05fa006c5d326e29a4,False,2026-02-05T16:41:30Z,eventbrite
1980686326120,"AI x Wellness x Tech Mixer: Tools, Habits & Human Connection","Explore how AI is enhancing how we live, feel, and perform—together.",2026-03-07,18:00,2026-03-07,21:30,America/New_York,False,VERSA,"New York, NY, US",EastWest Collective,76065455893,https://www.eventbrite.com/e/ai-x-wellness-x-tech-mixer-tools-habits-human-connection-tickets-1980686326120,False,17.85,USD,Business & Professional,"Startups & Small Business, Business & Professional, Meeting or Networking Event, Networking, Entrepreneur, Dating, professional_development, events_near_me, singles_events, business_networking, social_gathering, networking_events, ai_for_business",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1056480683%2F1930336273943%2F1%2Foriginal.20250619-113402?crop=focalpoint&fit=crop&w=301&auto=format%2Ccompress&q=75&sharp=10&fp-x=4.80544747082e-09&fp-y=2.11089494163e-09&s=4a3cc73efd1b4af670d23dd54ac28d79,False,2026-01-16T03:02:36Z,eventbrite
1807661908429,Launch Your Own Successful AI App | AI Startup | Workshop 2026,Launch Your Own Successful AI App | AI Startup | Workshop 2026,2026-02-17,13:00,2026-02-17,17:00,America/New_York,False,TBD,"New York, NY, US",Blueqix,61368572853,https://www.eventbrite.com/e/launch-your-own-successful-ai-app-ai-startup-workshop-2026-tickets-1807661908429,False,208.15,USD,Business & Professional,"Startups & Small Business, Business & Professional, Class, Training, or Workshop, Business, Training, Workshop, Technology, Entrepreneurship, Startup, Ai, Hackathon, Aitraining, ai_for_business",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1150660193%2F975057858293%2F1%2Foriginal.20251011-121858?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=2e607d9c12bd3af7716dfd68ee16a03d,False,2024-04-28T09:58:46Z,eventbrite
1980688026205,"AI x Wellness x Tech Mixer: Tools, Habits & Human Connection","Explore how AI is enhancing how we live, feel, and perform—together.",2026-03-12,18:00,2026-03-12,21:00,America/New_York,False,The Lobby Bar & Garden,"New York, NY, US",EastWest Collective,76065455893,https://www.eventbrite.com/e/ai-x-wellness-x-tech-mixer-tools-habits-human-connection-tickets-1980688026205,False,17.85,USD,Business & Professional,"Startups & Small Business, Business & Professional, Meeting or Networking Event, Networking, Entrepreneur, Dating, professional_development, events_near_me, singles_events, business_networking, social_gathering, networking_events, ai_for_business",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1056480683%2F1930336273943%2F1%2Foriginal.20250619-113402?crop=focalpoint&fit=crop&w=301&auto=format%2Ccompress&q=75&sharp=10&fp-x=4.80544747082e-09&fp-y=2.11089494163e-09&s=4a3cc73efd1b4af670d23dd54ac28d79,False,2026-01-16T03:24:18Z,eventbrite
1980689041241,"AI x Wellness x Tech Mixer: Tools, Habits & Human Connection","Explore how AI is enhancing how we live, feel, and perform—together.",2026-03-15,16:00,2026-03-15,19:00,America/New_York,False,VERSA,"New York, NY, US",EastWest Collective,76065455893,https://www.eventbrite.com/e/ai-x-wellness-x-tech-mixer-tools-habits-human-connection-tickets-1980689041241,False,17.85,USD,Business & Professional,"Startups & Small Business, Business & Professional, Meeting or Networking Event, Networking, Entrepreneur, Dating, professional_development, events_near_me, singles_events, business_networking, social_gathering, networking_events, ai_for_business",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1056480683%2F1930336273943%2F1%2Foriginal.20250619-113402?crop=focalpoint&fit=crop&w=301&auto=format%2Ccompress&q=75&sharp=10&fp-x=4.80544747082e-09&fp-y=2.11089494163e-09&s=4a3cc73efd1b4af670d23dd54ac28d79,False,2026-01-16T03:33:27Z,eventbrite
1980689461498,"AI x Wellness x Tech Mixer: Tools, Habits & Human Connection","Explore how AI is enhancing how we live, feel, and perform—together.",2026-03-19,18:00,2026-03-19,21:00,America/New_York,False,The Lobby Bar & Garden,"New York, NY, US",EastWest Collective,76065455893,https://www.eventbrite.com/e/ai-x-wellness-x-tech-mixer-tools-habits-human-connection-tickets-1980689461498,False,17.85,USD,Business & Professional,"Startups & Small Business, Business & Professional, Meeting or Networking Event, Networking, Entrepreneur, Dating, professional_development, events_near_me, singles_events, business_networking, social_gathering, networking_events, ai_for_business",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1056480683%2F1930336273943%2F1%2Foriginal.20250619-113402?crop=focalpoint&fit=crop&w=301&auto=format%2Ccompress&q=75&sharp=10&fp-x=4.80544747082e-09&fp-y=2.11089494163e-09&s=4a3cc73efd1b4af670d23dd54ac28d79,False,2026-01-16T03:41:59Z,eventbrite
1981976641488,New York Health Innovation Night on Agentic AI,An evening for innovators and investors in healthcare in New York to get together and talk about the future,2026-03-05,17:30,2026-03-05,20:30,America/New_York,False,The Globe Bar,"New York, NY, US",Steven Wardell,121566047,https://www.eventbrite.com/e/new-york-health-innovation-night-on-agentic-ai-registration-1981976641488,False,22.11,USD,Health & Wellness,"Personal health, Health & Wellness, Party or Social Gathering, Health, Longevity, Healthcare, Agetech, Healthtech, Ehealth, digitalhealty",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F824733949%2F133243219%2F1%2Foriginal.20240811-152523?w=301&auto=format%2Ccompress&q=75&sharp=10&s=84b89c5511b8e5d2e54a48e760d5e5a7,False,2026-01-30T00:54:43Z,eventbrite
1980690462492,"AI x Wellness x Tech Mixer: Tools, Habits & Human Connection","Explore how AI is enhancing how we live, feel, and perform—together.",2026-03-21,18:00,2026-03-21,21:30,America/New_York,False,VERSA,"New York, NY, US",EastWest Collective,76065455893,https://www.eventbrite.com/e/ai-x-wellness-x-tech-mixer-tools-habits-human-connection-tickets-1980690462492,False,17.85,USD,Business & Professional,"Startups & Small Business, Business & Professional, Meeting or Networking Event, Networking, Entrepreneur, Dating, professional_development, events_near_me, singles_events, business_networking, social_gathering, networking_events, ai_for_business",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1056480683%2F1930336273943%2F1%2Foriginal.20250619-113402?crop=focalpoint&fit=crop&w=301&auto=format%2Ccompress&q=75&sharp=10&fp-x=4.80544747082e-09&fp-y=2.11089494163e-09&s=4a3cc73efd1b4af670d23dd54ac28d79,False,2026-01-16T03:53:23Z,eventbrite
1981743481099,"AI & Machine Learning Start-Ups, Professionals, Investors Networking NYC","AI & Machine Learning Networking Night: Connecting Startups, Investors, Service Providers and Professionals.",2026-03-09,19:00,2026-03-09,22:00,America/New_York,False,832 8th Ave,"New York, NY, US",Business Minds Events,82796727253,https://www.eventbrite.com/e/ai-machine-learning-start-ups-professionals-investors-networking-nyc-tickets-1981743481099,False,9.85,USD,Business & Professional,"Startups & Small Business, Business & Professional, Meeting or Networking Event, Tech, Technology, Startup, Ai, Machinelearning, Nyc, Startups, Technologies, startup_event, startup_networking",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173201094%2F2108009601763%2F1%2Foriginal.20251218-140802?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=c84c8faac1516501db455aca942730a2,False,2026-01-27T14:12:08Z,eventbrite
1012563172707,AI Implementation in Business | New York City,Come learn how to effectively integrate AI into your business operations at our event in NYC!,2026-02-25,12:00,2026-02-25,14:00,America/New_York,False,New York,"New York, NY, US",Rapid Skill Up,91832326783,https://www.eventbrite.com/e/ai-implementation-in-business-new-york-city-tickets-1012563172707,False,499.00,USD,Science & Technology,"High Tech, Science & Technology, Class, Training, or Workshop, Business, Ai",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1020995213%2F2309330230023%2F1%2Foriginal.20250501-142757?crop=focalpoint&fit=crop&w=301&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.0049053030303&fp-y=0.00473880597015&s=21b047a5e17ec67ff7cd6c7ad401812a,False,2024-09-09T05:01:51Z,eventbrite
1980691119457,"AI x Wellness x Tech Mixer: Tools, Habits & Human Connection","Explore how AI is enhancing how we live, feel, and perform—together.",2026-03-26,18:00,2026-03-26,21:00,America/New_York,False,The Lobby Bar & Garden,"New York, NY, US",EastWest Collective,76065455893,https://www.eventbrite.com/e/ai-x-wellness-x-tech-mixer-tools-habits-human-connection-tickets-1980691119457,False,17.85,USD,Business & Professional,"Startups & Small Business, Business & Professional, Meeting or Networking Event, Networking, Entrepreneur, Dating, professional_development, events_near_me, singles_events, business_networking, social_gathering, networking_events, ai_for_business",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1056480683%2F1930336273943%2F1%2Foriginal.20250619-113402?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=4.80544747082e-09&fp-y=2.11089494163e-09&s=16971a194ae9666124d6e1bf6b6589c7,False,2026-01-16T03:59:12Z,eventbrite
1980692194673,"AI x Wellness x Tech Mixer: Tools, Habits & Human Connection","Explore how AI is enhancing how we live, feel, and perform—together.",2026-03-28,18:00,2026-03-28,21:30,America/New_York,False,VERSA,"New York, NY, US",EastWest Collective,76065455893,https://www.eventbrite.com/e/ai-x-wellness-x-tech-mixer-tools-habits-human-connection-tickets-1980692194673,False,17.85,USD,Business & Professional,"Startups & Small Business, Business & Professional, Meeting or Networking Event, Networking, Entrepreneur, Dating, professional_development, events_near_me, singles_events, business_networking, social_gathering, networking_events, ai_for_business",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1056480683%2F1930336273943%2F1%2Foriginal.20250619-113402?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=4.80544747082e-09&fp-y=2.11089494163e-09&s=16971a194ae9666124d6e1bf6b6589c7,False,2026-01-16T04:08:00Z,eventbrite
1982366289937,Revival of Art in the Age of AI: A Guided Exhibition & Dialogue,"An inquiry into handmade art at ALIUME Art Gallery. Featuring new works by Alex Aliume, a live dialogue, and a guided gallery experience.",2026-02-28,19:00,2026-02-28,22:00,America/New_York,False,ALIUME Art Gallery,"Brooklyn, NY, US",ALIUME ART,78527127813,https://www.eventbrite.com/e/revival-of-art-in-the-age-of-ai-a-guided-exhibition-dialogue-tickets-1982366289937,False,32.78,USD,Performing & Visual Arts,"Fine Art, Performing & Visual Arts, Conference, Art, Brooklyn, Ai, Contemporary, Fineart, Artificialintelligence, Newyork, Dialogue, Artgallery, nyc_events",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176688778%2F1996519949213%2F1%2Foriginal.20260204-171039?crop=focalpoint&fit=crop&w=400&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=0a169bbc67ed3766707e694743cdc6e4,False,2026-02-04T17:37:22Z,eventbrite
1979838885402,"Business Innovation with AI: 1 Day Session in New York, NY","Learn how to use AI to boost productivity, improve decisions, and increase efficiency without technical complexity.",2026-03-12,09:00,2026-03-12,17:00,America/New_York,False,Regus - New York City - 100 Church Street,"New York, NY, US",Mangates,110549802331,https://www.eventbrite.sg/e/business-innovation-with-ai-1-day-session-in-new-york-ny-tickets-1979838885402,False,560.73,USD,Business & Professional,"Career, Business & Professional, Class, Training, or Workshop, Newyork, Responsibleai, Aitraining, Businessinnovation, corporate_training, aiforbusiness, mangates, businessai, aidrivenproductivity, aiindecisionmaking",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171902092%2F2740397811611%2F1%2Foriginal.20251128-041956?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=880192c4a3e77146e91278a1e0c1cde7,False,2026-01-06T05:55:45Z,eventbrite
